annotation_id,image_id,category_id,bbox_x,bbox_y,bbox_w,bbox_h,score
1,1,1899,157.98611450195312,250.6847686767578,202.73507690429688,128.05775451660156,0.985054194927215
2,1,16550,563.5308227539062,67.35728454589844,388.837646484375,410.1600799560547,0.9787606596946711
3,1,27925,603.78466796875,669.6654663085938,251.1273193359375,480.37115478515625,0.9355467557907101
4,1,24849,168.32594299316406,750.85205078125,185.2903594970703,282.0008544921875,0.8680761456489561
5,10,1899,643.3360595703125,844.673583984375,188.0186767578125,189.486083984375,0.971034944057464
6,10,16547,105.03289794921875,808.1466064453125,238.75424194335938,236.8472900390625,0.9591866135597221
7,10,29450,112.17668914794922,238.5324249267578,404.60559844970703,213.2676239013672,0.8794286847114561
8,10,21770,641.2578125,290.1275634765625,196.400634765625,184.07077026367188,0.66012293100357
9,100,1899,132.95164489746094,244.26168823242188,193.10740661621094,163.47369384765625,0.9805293679237361
10,100,16547,581.2299194335938,129.70176696777344,242.9310302734375,223.3206024169922,0.966745793819427
11,100,33008,520.987060546875,789.3688354492188,381.298095703125,212.33526611328125,0.87442535161972
12,100,18109,49.52180862426758,745.9766845703125,304.2466239929199,288.8271484375,0.58217430114746
13,1003,34596,37.13496017456055,164.1986083984375,441.9677925109863,411.43505859375,0.978861272335052
14,1003,3482,608.3607788085938,792.1228637695312,272.17529296875,209.013916015625,0.9765716791152951
15,1003,27732,124.7337417602539,761.08740234375,312.04793548583984,282.5391845703125,0.9708903431892391
16,1003,16231,647.400634765625,187.0781707763672,191.9747314453125,177.52061462402344,0.9581660628318781
17,1004,3482,121.50894165039062,307.9432373046875,273.3125305175781,200.19900512695312,0.9801472425460811
18,1004,34596,495.22967529296875,665.1719360351562,475.35980224609375,421.23870849609375,0.975801348686218
19,1004,27732,561.899658203125,261.85272216796875,303.82373046875,264.589111328125,0.9699591398239131
20,1004,16231,142.39602661132812,889.8760986328125,195.91845703125,198.30322265625,0.8661256432533261
21,1005,3482,578.768798828125,757.9015502929688,275.41632080078125,210.319091796875,0.9809276461601251
22,1005,34596,22.385238647460938,122.07597351074219,435.5109100341797,429.9898223876953,0.9787934422492981
23,1005,27732,86.31468200683594,724.1329956054688,317.47337341308594,281.8377685546875,0.9654855728149411
24,1005,16231,617.9525756835938,179.42098999023438,189.66668701171875,179.28912353515625,0.9554412364959711
25,1006,3482,601.697265625,843.2203369140625,277.148193359375,189.8016357421875,0.9824169874191281
26,1006,25366,48.163063049316406,178.4509735107422,443.05858612060547,420.79591369628906,0.9790681600570671
27,1006,25468,53.593753814697266,855.7954711914062,372.9047508239746,224.84283447265625,0.914511501789093
28,1006,20237,621.9013671875,193.58168029785156,222.31134033203125,220.97032165527344,0.9023131728172301
29,1007,25366,36.25920104980469,161.5333251953125,420.99671936035156,413.082763671875,0.969669759273529
30,1007,3482,574.541259765625,811.6694946289062,280.98406982421875,193.01434326171875,0.9672142863273621
31,1007,25468,14.843582153320312,808.90673828125,379.22010803222656,227.3414306640625,0.9393373727798461
32,1007,20237,590.2388305664062,191.71092224121094,219.30035400390625,211.12828063964844,0.9074136018753051
33,1009,16261,545.4058227539062,189.57537841796875,240.965087890625,224.56661987304688,0.9744121432304381
34,1009,3482,574.1765747070312,810.5787963867188,280.55328369140625,193.996826171875,0.9666944146156311
35,1009,25468,13.60159683227539,812.7338256835938,387.19201278686523,224.11370849609375,0.935773134231567
36,1009,22346,79.84812927246094,192.16673278808594,201.58836364746094,200.5225067138672,0.917185723781585
37,1010,16261,575.03955078125,191.08522033691406,241.45751953125,233.0263214111328,0.9833659529685971
38,1010,3482,601.8651123046875,843.2918701171875,277.15264892578125,190.6240234375,0.9822300672531121
39,1010,22346,94.9685287475586,206.1407470703125,204.15494537353516,191.7161865234375,0.919046878814697
40,1010,25468,55.476158142089844,856.7589721679688,369.98157501220703,223.49261474609375,0.9159446954727171
41,1012,16547,611.2245483398438,156.3066864013672,234.455078125,223.21986389160156,0.9708212018013
42,1012,1899,140.27603149414062,241.4923095703125,197.48687744140625,126.851806640625,0.9695799350738521
43,1012,27925,566.9139404296875,629.6716918945312,259.35137939453125,500.65789794921875,0.9419553875923151
44,1012,24849,139.08236694335938,719.539794921875,185.0655517578125,275.411865234375,0.8406429886817931
45,1013,1899,628.4405517578125,893.2615356445312,212.22979736328125,135.08624267578125,0.9795779585838311
46,1013,16547,100.28734588623047,869.4902954101562,244.05155181884766,236.73675537109375,0.9652026295661921
47,1013,27925,145.7359161376953,142.5199432373047,256.47218322753906,449.1302032470703,0.888865649700164
48,1013,24849,636.0980834960938,291.2212219238281,182.01171875,263.5486755371094,0.828368604183197
49,1014,1899,157.73439025878906,250.74777221679688,202.9753875732422,127.62936401367188,0.9845437407493591
50,1014,16547,640.6144409179688,163.60227966308594,237.39056396484375,222.6992645263672,0.9729870557785031
51,1014,27925,604.9367065429688,669.9013061523438,251.311767578125,481.33953857421875,0.9278844594955441
52,1014,24849,184.78700256347656,736.431884765625,169.57337951660156,297.6536865234375,0.8380934596061701
53,1015,20876,106.3378677368164,765.1610107421875,339.8579330444336,232.6297607421875,0.986793458461761
54,1015,30307,68.1602783203125,127.6321029663086,400.06524658203125,402.3664321899414,0.979754626750946
55,1015,35205,658.8001708984375,168.10609436035156,224.83282470703125,411.09385681152344,0.9752664566040031
56,1015,3482,651.9915771484375,747.8541259765625,208.01715087890625,269.28253173828125,0.9750781655311581
57,1016,20876,544.859375,294.9679870605469,326.65179443359375,234.19662475585938,0.9757811427116391
58,1016,35205,94.9140396118164,671.5079956054688,236.53255462646484,417.60943603515625,0.9747047424316401
59,1016,30307,539.9028930664062,725.588134765625,413.0037841796875,410.004638671875,0.9740238785743711
60,1016,3482,141.33006286621094,290.5200500488281,213.5361785888672,257.5146179199219,0.9695499539375301
61,1018,3482,121.60185241699219,308.7235412597656,272.8711395263672,199.07577514648438,0.978958368301391
62,1018,27732,558.6742553710938,257.26361083984375,301.603759765625,268.03863525390625,0.971176385879516
63,1018,29666,87.5100326538086,861.390625,228.17252349853516,227.4779052734375,0.9568429589271541
64,1018,30307,447.5657958984375,740.3154907226562,458.2481689453125,310.53179931640625,0.952577531337738
65,1019,3482,608.2218627929688,791.200439453125,272.08599853515625,209.97454833984375,0.976233899593353
66,1019,29666,674.2865600585938,183.0785675048828,221.71820068359375,208.1803741455078,0.9722982048988341
67,1019,27732,130.29119873046875,775.281494140625,317.66192626953125,278.398193359375,0.9684258103370661
68,1019,30307,99.01582336425781,207.8489532470703,446.29832458496094,305.2948455810547,0.888707399368286
69,102,1899,152.17572021484375,258.4288635253906,194.4779052734375,156.70608520507812,0.9850690960884091
70,102,16547,617.5908813476562,137.58143615722656,234.27545166015625,226.02284240722656,0.976985692977905
71,102,33008,547.0301513671875,836.6731567382812,379.11663818359375,197.23370361328125,0.875298500061035
72,102,18109,80.46726989746094,788.918212890625,301.77781677246094,284.7894287109375,0.7670731544494621
73,1020,3482,579.0179443359375,757.9054565429688,274.51934814453125,210.16217041015625,0.9806517958641051
74,1020,27732,91.9548568725586,731.0670776367188,317.3406753540039,276.242431640625,0.9682918787002561
75,1020,29666,637.5326538085938,177.8607635498047,222.8836669921875,214.89894104003906,0.9620702266693111
76,1020,30307,76.79060363769531,182.2802276611328,439.8113250732422,296.9558868408203,0.9233564138412471
77,1022,16550,623.8072509765625,21.500852584838867,285.1705322265625,471.8775043487549,0.9719439148902891
